,Order ID,Customer ID,Customer Name,Order Date,Order Time,Delivery Date,Delivery Time,Shipping Method,Delivery Status,Delivery Time (days),Product Category,Delivery Region,Day Of the Week,Month,Year,WeekDay,Quarter,Hour,Minute,Second
0,1001,C052,Sophia Scott,02-03-2025 16:00,06:49:03,08-03-2025 16:00,31-03-2025 11:28,Expedited,Delivered,11:28:58,Electronics,Asia,Saturday,3,2025,5,1,11,28,58
1,1002,C093,Mark Lee,17-11-2022 08:00,04:03:35,21-11-2022 08:00,31-03-2025 17:04,Standard,Pending,17:04:23,Groceries,Asia,Monday,11,2022,0,4,17,4,23
2,1003,C015,Hannah Allen,08-09-2021 23:00,12:15:24,10-09-2021 23:00,31-03-2025 07:02,Standard,Delivered,07:02:01,Books,North America,Friday,9,2021,4,3,7,2,1
3,1004,C072,Laura Clark,19-10-2022 22:00,13:10:28,24-10-2022 22:00,31-03-2025 18:39,Expedited,Pending,18:39:01,Clothing,Asia,Monday,10,2022,0,4,18,39,1
4,1005,C061,Andrew Moore,02-08-2022 21:00,01:21:13,07-08-2022 21:00,31-03-2025 18:00,Expedited,Pending,18:00:26,Clothing,Europe,Sunday,8,2022,6,3,18,0,26
5,1006,C021,Laura Clark,05-04-2018 05:00,23:23:58,08-04-2018 05:00,31-03-2025 21:44,Expedited,Delivered,21:44:54,Electronics,North America,Sunday,4,2018,6,2,21,44,54
6,1007,C083,Lisa Green,09-01-2021 16:00,06:25:42,13-01-2021 16:00,31-03-2025 19:48,Expedited,Delivered,19:48:34,Groceries,Asia,Wednesday,1,2021,2,1,19,48,34
7,1008,C087,Lisa Green,07-10-2018 20:00,03:38:15,10-10-2018 20:00,31-03-2025 08:04,Standard,Pending,08:04:37,Home & Kitchen,North America,Wednesday,10,2018,2,4,8,4,37
8,1009,C075,Sophia Scott,20-04-2021 13:00,05:58:31,26-04-2021 13:00,31-03-2025 03:16,Standard,Pending,03:16:52,Home & Kitchen,North America,Monday,4,2021,0,2,3,16,52
9,1010,C075,Sarah White,02-07-2018 10:00,05:33:55,05-07-2018 10:00,31-03-2025 20:52,Expedited,Pending,20:52:47,Clothing,Asia,Thursday,7,2018,3,3,20,52,47
10,1011,C088,John Doe,18-08-2022 23:00,07:29:26,19-08-2022 23:00,31-03-2025 15:21,Expedited,Pending,15:21:10,Books,Europe,Friday,8,2022,4,3,15,21,10
11,1012,C100,Olivia White,24-04-2021 17:00,06:26:24,29-04-2021 17:00,31-03-2025 01:48,Standard,Delivered,01:48:14,Clothing,Asia,Thursday,4,2021,3,2,1,48,14
12,1013,C024,Emma Davis,27-09-2020 00:00,23:45:40,30-09-2020 00:00,31-03-2025 17:09,Standard,Pending,17:09:37,Electronics,Asia,Wednesday,9,2020,2,3,17,9,37
13,1014,C003,Laura Clark,11-11-2022 04:00,14:24:21,12-11-2022 04:00,31-03-2025 20:47,Standard,Delivered,20:47:30,Books,Europe,Saturday,11,2022,5,4,20,47,30
14,1015,C022,Jane Smith,18-10-2025 08:00,17:11:22,22-10-2025 08:00,31-03-2025 04:43,Standard,Delivered,04:43:27,Home & Kitchen,Asia,Wednesday,10,2025,2,4,4,43,27
15,1016,C053,Sophia Scott,14-08-2018 10:00,18:44:38,17-08-2018 10:00,31-03-2025 05:13,Standard,Pending,05:13:57,Groceries,Asia,Friday,8,2018,4,3,5,13,57
16,1017,C002,John Doe,24-05-2024 04:00,09:29:09,30-05-2024 04:00,31-03-2025 22:15,Expedited,Delivered,22:15:24,Groceries,Asia,Thursday,5,2024,3,2,22,15,24
17,1018,C088,Jane Smith,23-03-2025 03:00,01:45:12,29-03-2025 03:00,31-03-2025 06:01,Expedited,Delivered,06:01:37,Electronics,North America,Saturday,3,2025,5,1,6,1,37
18,1019,C030,John Doe,11-10-2018 04:00,21:28:37,17-10-2018 04:00,31-03-2025 08:38,Expedited,Pending,08:38:33,Clothing,North America,Wednesday,10,2018,2,4,8,38,33
19,1020,C038,John Doe,10-03-2024 05:00,08:44:08,15-03-2024 05:00,31-03-2025 18:39,Expedited,Delivered,18:39:42,Electronics,North America,Friday,3,2024,4,1,18,39,42
20,1021,C002,Mark Lee,30-11-2022 00:00,12:36:13,03-12-2022 00:00,31-03-2025 03:15,Standard,Delivered,03:15:56,Groceries,Asia,Saturday,12,2022,5,4,3,15,56
21,1022,C064,Daniel King,08-01-2020 21:00,04:08:07,12-01-2020 21:00,31-03-2025 17:12,Expedited,Pending,17:12:58,Home & Kitchen,Europe,Sunday,1,2020,6,1,17,12,58
22,1023,C060,Hannah Allen,05-09-2024 21:00,06:39:53,08-09-2024 21:00,31-03-2025 04:26,Standard,Pending,04:26:33,Groceries,North America,Sunday,9,2024,6,3,4,26,33
23,1024,C021,John Doe,01-01-2020 23:00,02:54:55,06-01-2020 23:00,31-03-2025 10:00,Standard,Pending,10:00:12,Books,Europe,Monday,1,2020,0,1,10,0,12
24,1025,C033,Daniel King,09-04-2022 02:00,14:39:32,10-04-2022 02:00,31-03-2025 04:17,Standard,Pending,04:17:13,Groceries,Asia,Sunday,4,2022,6,2,4,17,13
25,1026,C076,Sarah White,28-11-2019 20:00,06:18:33,03-12-2019 20:00,31-03-2025 12:31,Standard,Pending,12:31:06,Groceries,North America,Tuesday,12,2019,1,4,12,31,6
26,1027,C058,Olivia White,09-06-2018 12:00,13:49:46,15-06-2018 12:00,31-03-2025 07:49,Standard,Pending,07:49:06,Books,Asia,Friday,6,2018,4,2,7,49,6
27,1028,C022,Lisa Green,13-12-2019 23:00,13:55:56,14-12-2019 23:00,31-03-2025 19:48,Standard,Pending,19:48:15,Clothing,Europe,Saturday,12,2019,5,4,19,48,15
28,1029,C089,Tom Harris,10-06-2019 05:00,18:50:53,16-06-2019 05:00,31-03-2025 10:30,Standard,Delivered,10:30:50,Groceries,North America,Sunday,6,2019,6,2,10,30,50
29,1030,C049,Jane Smith,29-07-2021 17:00,16:53:27,31-07-2021 17:00,31-03-2025 00:52,Expedited,Delivered,00:52:28,Electronics,North America,Saturday,7,2021,5,3,0,52,28
30,1031,C091,Lisa Green,17-08-2018 10:00,18:26:47,22-08-2018 10:00,31-03-2025 07:32,Standard,Pending,07:32:40,Groceries,North America,Wednesday,8,2018,2,3,7,32,40
31,1032,C059,Tom Harris,15-06-2025 05:00,19:56:18,20-06-2025 05:00,31-03-2025 18:20,Expedited,Delivered,18:20:40,Electronics,North America,Friday,6,2025,4,2,18,20,40
32,1033,C042,Olivia White,25-10-2023 00:00,00:50:06,29-10-2023 00:00,31-03-2025 20:24,Expedited,Delivered,20:24:41,Books,Europe,Sunday,10,2023,6,4,20,24,41
33,1034,C092,Hannah Allen,16-08-2018 15:00,22:42:04,19-08-2018 15:00,31-03-2025 23:22,Standard,Pending,23:22:10,Groceries,North America,Sunday,8,2018,6,3,23,22,10
34,1035,C060,Olivia White,13-07-2018 16:00,16:42:55,14-07-2018 16:00,31-03-2025 00:19,Standard,Delivered,00:19:24,Books,Asia,Saturday,7,2018,5,3,0,19,24
35,1036,C080,Jane Smith,01-11-2021 23:00,07:41:11,02-11-2021 23:00,31-03-2025 07:51,Expedited,Pending,07:51:11,Books,North America,Tuesday,11,2021,1,4,7,51,11
36,1037,C015,Andrew Moore,30-09-2024 20:00,09:12:25,04-10-2024 20:00,31-03-2025 00:09,Expedited,Delivered,00:09:03,Clothing,Europe,Friday,10,2024,4,4,0,9,3
37,1038,C062,Jane Smith,24-01-2022 18:00,17:41:50,28-01-2022 18:00,31-03-2025 14:50,Expedited,Pending,14:50:05,Groceries,North America,Friday,1,2022,4,1,14,50,5
38,1039,C062,Olivia White,02-02-2023 10:00,19:48:19,05-02-2023 10:00,31-03-2025 04:04,Expedited,Delivered,04:04:17,Electronics,Europe,Sunday,2,2023,6,1,4,4,17
39,1040,C047,Tom Harris,18-08-2023 14:00,15:36:02,24-08-2023 14:00,31-03-2025 02:58,Standard,Delivered,02:58:21,Electronics,Europe,Thursday,8,2023,3,3,2,58,21
