,Order ID,Customer ID,Customer Name,Order Date,Order Time,Delivery Date,Delivery Time,Shipping Method,Delivery Status,Delivery Time (days),Product Category,Delivery Region,Day Of the Week,Month,Year,WeekDay,Quarter,Hour,Minute,Second
0,1001,C052,Sophia Scott,2025-03-02 16:00:00,06:49:03,2025-03-08 16:00:00,1900-01-01 11:28:58,Expedited,Delivered,11:28:58,Electronics,Asia,Saturday,3,2025,5,1,11,28,58
1,1002,C093,Mark Lee,2022-11-17 08:00:00,04:03:35,2022-11-21 08:00:00,1900-01-01 17:04:23,Standard,Pending,17:04:23,Groceries,Asia,Monday,11,2022,0,4,17,4,23
2,1003,C015,Hannah Allen,2021-09-08 23:00:00,12:15:24,2021-09-10 23:00:00,1900-01-01 07:02:01,Standard,Delivered,07:02:01,Books,North America,Friday,9,2021,4,3,7,2,1
3,1004,C072,Laura Clark,2022-10-19 22:00:00,13:10:28,2022-10-24 22:00:00,1900-01-01 18:39:01,Expedited,Pending,18:39:01,Clothing,Asia,Monday,10,2022,0,4,18,39,1
4,1005,C061,Andrew Moore,2022-08-02 21:00:00,01:21:13,2022-08-07 21:00:00,1900-01-01 18:00:26,Expedited,Pending,18:00:26,Clothing,Europe,Sunday,8,2022,6,3,18,0,26
5,1006,C021,Laura Clark,2018-04-05 05:00:00,23:23:58,2018-04-08 05:00:00,1900-01-01 21:44:54,Expedited,Delivered,21:44:54,Electronics,North America,Sunday,4,2018,6,2,21,44,54
6,1007,C083,Lisa Green,2021-01-09 16:00:00,06:25:42,2021-01-13 16:00:00,1900-01-01 19:48:34,Expedited,Delivered,19:48:34,Groceries,Asia,Wednesday,1,2021,2,1,19,48,34
7,1008,C087,Lisa Green,2018-10-07 20:00:00,03:38:15,2018-10-10 20:00:00,1900-01-01 08:04:37,Standard,Pending,08:04:37,Home & Kitchen,North America,Wednesday,10,2018,2,4,8,4,37
8,1009,C075,Sophia Scott,2021-04-20 13:00:00,05:58:31,2021-04-26 13:00:00,1900-01-01 03:16:52,Standard,Pending,03:16:52,Home & Kitchen,North America,Monday,4,2021,0,2,3,16,52
9,1010,C075,Sarah White,2018-07-02 10:00:00,05:33:55,2018-07-05 10:00:00,1900-01-01 20:52:47,Expedited,Pending,20:52:47,Clothing,Asia,Thursday,7,2018,3,3,20,52,47
10,1011,C088,John Doe,2022-08-18 23:00:00,07:29:26,2022-08-19 23:00:00,1900-01-01 15:21:10,Expedited,Pending,15:21:10,Books,Europe,Friday,8,2022,4,3,15,21,10
11,1012,C100,Olivia White,2021-04-24 17:00:00,06:26:24,2021-04-29 17:00:00,1900-01-01 01:48:14,Standard,Delivered,01:48:14,Clothing,Asia,Thursday,4,2021,3,2,1,48,14
12,1013,C024,Emma Davis,2020-09-27 00:00:00,23:45:40,2020-09-30 00:00:00,1900-01-01 17:09:37,Standard,Pending,17:09:37,Electronics,Asia,Wednesday,9,2020,2,3,17,9,37
13,1014,C003,Laura Clark,2022-11-11 04:00:00,14:24:21,2022-11-12 04:00:00,1900-01-01 20:47:30,Standard,Delivered,20:47:30,Books,Europe,Saturday,11,2022,5,4,20,47,30
14,1015,C022,Jane Smith,2025-10-18 08:00:00,17:11:22,2025-10-22 08:00:00,1900-01-01 04:43:27,Standard,Delivered,04:43:27,Home & Kitchen,Asia,Wednesday,10,2025,2,4,4,43,27
15,1016,C053,Sophia Scott,2018-08-14 10:00:00,18:44:38,2018-08-17 10:00:00,1900-01-01 05:13:57,Standard,Pending,05:13:57,Groceries,Asia,Friday,8,2018,4,3,5,13,57
16,1017,C002,John Doe,2024-05-24 04:00:00,09:29:09,2024-05-30 04:00:00,1900-01-01 22:15:24,Expedited,Delivered,22:15:24,Groceries,Asia,Thursday,5,2024,3,2,22,15,24
17,1018,C088,Jane Smith,2025-03-23 03:00:00,01:45:12,2025-03-29 03:00:00,1900-01-01 06:01:37,Expedited,Delivered,06:01:37,Electronics,North America,Saturday,3,2025,5,1,6,1,37
18,1019,C030,John Doe,2018-10-11 04:00:00,21:28:37,2018-10-17 04:00:00,1900-01-01 08:38:33,Expedited,Pending,08:38:33,Clothing,North America,Wednesday,10,2018,2,4,8,38,33
19,1020,C038,John Doe,2024-03-10 05:00:00,08:44:08,2024-03-15 05:00:00,1900-01-01 18:39:42,Expedited,Delivered,18:39:42,Electronics,North America,Friday,3,2024,4,1,18,39,42
20,1021,C002,Mark Lee,2022-11-30 00:00:00,12:36:13,2022-12-03 00:00:00,1900-01-01 03:15:56,Standard,Delivered,03:15:56,Groceries,Asia,Saturday,12,2022,5,4,3,15,56
21,1022,C064,Daniel King,2020-01-08 21:00:00,04:08:07,2020-01-12 21:00:00,1900-01-01 17:12:58,Expedited,Pending,17:12:58,Home & Kitchen,Europe,Sunday,1,2020,6,1,17,12,58
22,1023,C060,Hannah Allen,2024-09-05 21:00:00,06:39:53,2024-09-08 21:00:00,1900-01-01 04:26:33,Standard,Pending,04:26:33,Groceries,North America,Sunday,9,2024,6,3,4,26,33
23,1024,C021,John Doe,2020-01-01 23:00:00,02:54:55,2020-01-06 23:00:00,1900-01-01 10:00:12,Standard,Pending,10:00:12,Books,Europe,Monday,1,2020,0,1,10,0,12
24,1025,C033,Daniel King,2022-04-09 02:00:00,14:39:32,2022-04-10 02:00:00,1900-01-01 04:17:13,Standard,Pending,04:17:13,Groceries,Asia,Sunday,4,2022,6,2,4,17,13
25,1026,C076,Sarah White,2019-11-28 20:00:00,06:18:33,2019-12-03 20:00:00,1900-01-01 12:31:06,Standard,Pending,12:31:06,Groceries,North America,Tuesday,12,2019,1,4,12,31,6
26,1027,C058,Olivia White,2018-06-09 12:00:00,13:49:46,2018-06-15 12:00:00,1900-01-01 07:49:06,Standard,Pending,07:49:06,Books,Asia,Friday,6,2018,4,2,7,49,6
27,1028,C022,Lisa Green,2019-12-13 23:00:00,13:55:56,2019-12-14 23:00:00,1900-01-01 19:48:15,Standard,Pending,19:48:15,Clothing,Europe,Saturday,12,2019,5,4,19,48,15
