Order ID,Customer ID,Customer Name,Order Date,Order Time,Delivery Date,Delivery Time,Shipping Method,Delivery Status,Delivery Time (days),Product Category,Delivery Region
1001,C052,Sophia Scott,2018-01-01 00:00:00,20:17:34,2018-01-02 00:00:00,08:27:54,Expedited,Delivered,08:27:54,Groceries,Europe
1002,C093,Mark Lee,2018-01-01 01:00:00,19:14:04,2018-01-02 01:00:00,07:30:19,Standard,Pending,07:30:19,Home & Kitchen,North America
1003,C015,Hannah Allen,2018-01-01 02:00:00,12:50:11,2018-01-07 02:00:00,07:53:20,Expedited,Pending,07:53:20,Groceries,North America
1004,C072,Laura Clark,2018-01-01 03:00:00,22:20:36,2018-01-07 03:00:00,22:05:02,Expedited,Delivered,22:05:02,Clothing,Asia
1005,C061,Andrew Moore,2018-01-01 04:00:00,05:06:25,2018-01-07 04:00:00,04:08:06,Standard,Pending,04:08:06,Home & Kitchen,Asia
1006,C021,Laura Clark,2018-01-01 05:00:00,09:47:07,2018-01-02 05:00:00,03:38:04,Expedited,Delivered,03:38:04,Clothing,Asia
1007,C083,Lisa Green,2018-01-01 06:00:00,08:26:03,2018-01-03 06:00:00,10:14:33,Expedited,Delivered,10:14:33,Clothing,North America
1008,C087,Lisa Green,2018-01-01 07:00:00,20:30:20,2018-01-02 07:00:00,12:53:47,Standard,Delivered,12:53:47,Home & Kitchen,North America
1009,C075,Sophia Scott,2018-01-01 08:00:00,07:24:38,2018-01-06 08:00:00,06:39:05,Expedited,Pending,06:39:05,Electronics,Asia
1010,C075,Sarah White,2018-01-01 09:00:00,14:52:34,2018-01-05 09:00:00,23:38:49,Expedited,Delivered,23:38:49,Home & Kitchen,Asia
1011,C088,John Doe,2018-01-01 10:00:00,16:42:40,2018-01-07 10:00:00,21:24:27,Expedited,Pending,21:24:27,Electronics,Europe
1012,C100,Olivia White,2018-01-01 11:00:00,04:56:41,2018-01-03 11:00:00,21:19:38,Standard,Pending,21:19:38,Groceries,Europe
1013,C024,Emma Davis,2018-01-01 12:00:00,14:27:13,2018-01-04 12:00:00,02:04:00,Expedited,Delivered,02:04:00,Groceries,Asia
1014,C003,Laura Clark,2018-01-01 13:00:00,03:52:19,2018-01-04 13:00:00,14:25:02,Standard,Pending,14:25:02,Home & Kitchen,Asia
1015,C022,Jane Smith,2018-01-01 14:00:00,01:11:32,2018-01-05 14:00:00,07:56:40,Expedited,Pending,07:56:40,Groceries,Europe
1016,C053,Sophia Scott,2018-01-01 15:00:00,23:19:04,2018-01-03 15:00:00,14:41:33,Standard,Pending,14:41:33,Books,Asia
1017,C002,John Doe,2018-01-01 16:00:00,05:29:23,2018-01-02 16:00:00,19:04:30,Expedited,Pending,19:04:30,Clothing,Europe
1018,C088,Jane Smith,2018-01-01 17:00:00,10:39:06,2018-01-02 17:00:00,18:12:42,Standard,Pending,18:12:42,Clothing,Europe
1019,C030,John Doe,2018-01-01 18:00:00,03:37:15,2018-01-06 18:00:00,00:21:14,Standard,Delivered,00:21:14,Electronics,Europe
1020,C038,John Doe,2018-01-01 19:00:00,19:14:45,2018-01-06 19:00:00,17:47:08,Standard,Pending,17:47:08,Groceries,North America
1021,C002,Mark Lee,2018-01-01 20:00:00,22:11:28,2018-01-02 20:00:00,00:42:08,Standard,Delivered,00:42:08,Electronics,North America
1022,C064,Daniel King,2018-01-01 21:00:00,11:47:14,2018-01-04 21:00:00,22:42:44,Standard,Delivered,22:42:44,Clothing,Asia
1023,C060,Hannah Allen,2018-01-01 22:00:00,12:42:48,2018-01-07 22:00:00,01:13:37,Standard,Delivered,01:13:37,Clothing,Europe
1024,C021,John Doe,2018-01-01 23:00:00,20:14:13,2018-01-04 23:00:00,07:17:15,Expedited,Delivered,07:17:15,Groceries,North America
1025,C033,Daniel King,2018-01-02 00:00:00,09:43:15,2018-01-07 00:00:00,20:28:43,Expedited,Delivered,20:28:43,Books,Asia
1026,C076,Sarah White,2018-01-02 01:00:00,14:41:03,2018-01-06 01:00:00,10:05:02,Standard,Delivered,10:05:02,Books,Asia
1027,C058,Olivia White,2018-01-02 02:00:00,22:28:40,2018-01-03 02:00:00,13:59:01,Standard,Pending,13:59:01,Groceries,Asia
1028,C022,Lisa Green,2018-01-02 03:00:00,20:51:08,2018-01-07 03:00:00,10:21:02,Standard,Pending,10:21:02,Groceries,Asia
1029,C089,Tom Harris,2018-01-02 04:00:00,20:56:55,2018-01-07 04:00:00,17:30:32,Standard,Pending,17:30:32,Electronics,Asia
1030,C049,Jane Smith,2018-01-02 05:00:00,19:42:42,2018-01-08 05:00:00,23:00:43,Expedited,Delivered,23:00:43,Groceries,Europe
1031,C091,Lisa Green,2018-01-02 06:00:00,06:52:41,2018-01-03 06:00:00,14:36:26,Standard,Pending,14:36:26,Books,Asia
1032,C059,Tom Harris,2018-01-02 07:00:00,03:04:04,2018-01-08 07:00:00,05:47:26,Expedited,Pending,05:47:26,Groceries,Europe
1033,C042,Olivia White,2018-01-02 08:00:00,10:40:27,2018-01-03 08:00:00,11:11:02,Expedited,Pending,11:11:02,Electronics,North America
1034,C092,Hannah Allen,2018-01-02 09:00:00,15:40:53,2018-01-08 09:00:00,22:01:06,Standard,Delivered,22:01:06,Electronics,Asia
1035,C060,Olivia White,2018-01-02 10:00:00,03:01:45,2018-01-05 10:00:00,01:31:52,Standard,Pending,01:31:52,Electronics,North America
1036,C080,Jane Smith,2018-01-02 11:00:00,02:49:20,2018-01-06 11:00:00,06:31:42,Expedited,Delivered,06:31:42,Electronics,Europe
1037,C015,Andrew Moore,2018-01-02 12:00:00,05:42:52,2018-01-06 12:00:00,10:13:02,Expedited,Pending,10:13:02,Home & Kitchen,Europe
1038,C062,Jane Smith,2018-01-02 13:00:00,17:43:04,2018-01-03 13:00:00,13:31:42,Standard,Delivered,13:31:42,Groceries,North America
1039,C062,Olivia White,2018-01-02 14:00:00,08:19:27,2018-01-04 14:00:00,03:16:47,Standard,Delivered,03:16:47,Clothing,Asia
1040,C047,Tom Harris,2018-01-02 15:00:00,17:18:02,2018-01-07 15:00:00,02:56:09,Standard,Delivered,02:56:09,Groceries,Asia
1041,C062,Sophia Scott,2018-01-02 16:00:00,08:35:30,2018-01-07 16:00:00,20:46:39,Expedited,Pending,20:46:39,Home & Kitchen,North America
1042,C051,John Doe,2018-01-02 17:00:00,16:16:54,2018-01-03 17:00:00,17:02:38,Expedited,Pending,17:02:38,Electronics,North America
1043,C055,Emma Davis,2018-01-02 18:00:00,22:33:40,2018-01-08 18:00:00,09:51:08,Standard,Delivered,09:51:08,Home & Kitchen,North America
1044,C064,James Taylor,2018-01-02 19:00:00,08:04:14,2018-01-04 19:00:00,13:54:45,Expedited,Pending,13:54:45,Books,Asia
1045,C003,Daniel King,2018-01-02 20:00:00,14:02:18,2018-01-05 20:00:00,10:59:32,Expedited,Delivered,10:59:32,Books,Asia
1046,C051,Sam Brown,2018-01-02 21:00:00,02:37:03,2018-01-08 21:00:00,03:25:26,Standard,Delivered,03:25:26,Groceries,Asia
1047,C007,James Taylor,2018-01-02 22:00:00,23:30:44,2018-01-08 22:00:00,05:21:25,Standard,Pending,05:21:25,Groceries,North America
1048,C021,Lisa Green,2018-01-02 23:00:00,12:58:10,2018-01-03 23:00:00,21:04:34,Expedited,Pending,21:04:34,Clothing,Asia
1049,C073,Mark Lee,2018-01-03 00:00:00,04:00:08,2018-01-04 00:00:00,01:34:08,Expedited,Pending,01:34:08,Clothing,Europe
1050,C039,Lisa Green,2018-01-03 01:00:00,16:53:00,2018-01-08 01:00:00,18:50:48,Standard,Delivered,18:50:48,Books,North America
1051,C018,Mark Lee,2018-01-03 02:00:00,02:46:25,2018-01-04 02:00:00,17:42:11,Standard,Delivered,17:42:11,Electronics,Asia
1052,C004,Tom Harris,2018-01-03 03:00:00,20:30:25,2018-01-04 03:00:00,02:17:55,Standard,Pending,02:17:55,Home & Kitchen,North America
1053,C089,Andrew Moore,2018-01-03 04:00:00,22:29:09,2018-01-04 04:00:00,05:06:32,Standard,Delivered,05:06:32,Clothing,Europe
